β,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
3,23.185019969940186,3666,14,3.0,,,
3,22.923633098602295,3629,0,0.0,,,
3,23.181039571762085,3667,18,5.0,,,
3,23.22262454032898,3669,8,2.0,,,
3,23.262753009796143,3668,8,3.0,,,
3,23.202372550964355,3667,23,5.0,,,
3,23.300861358642578,3694,35,7.0,,,
3,34.24276113510132,5193,7,2.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 3
"
4,24.39185857772827,3666,6,1.0,,,
4,25.607762575149536,3667,8,3.0,,,
4,24.28108811378479,3629,2,1.0,,,
4,24.178977012634277,3668,17,6.0,,,
4,24.043338298797607,3667,1,1.0,,,
4,24.73002862930298,3669,9,3.0,,,
4,24.2224178314209,3627,7,3.0,,,
4,25.28583550453186,3668,10,3.0,,,
4,24.296723127365112,3668,15,3.0,,,
4,24.49624466896057,3667,16,4.0,,,
4,24.630371570587158,3627,15,4.0,,,
4,24.670773029327393,3668,12,4.0,,,
4,34.311121463775635,5159,14,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 4
"
5,24.866647005081177,3668,19,3.0,,,
5,25.054794788360596,3667,7,1.0,,,
5,23.7138774394989,3628,9,1.0,,,
5,24.591517686843872,3668,14,4.0,,,
5,24.674050331115723,3668,16,5.0,,,
5,25.292087078094482,3695,35,8.0,,,
5,24.980741262435913,3626,0,0.0,,,
5,25.288763523101807,3708,24,5.0,,,
5,24.660754203796387,3668,18,4.0,,,
5,25.0312077999115,3667,14,3.0,,,
5,24.342342376708984,3628,5,3.0,,,
5,25.566583395004272,3667,25,5.0,,,
5,35.84421110153198,5177,20,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 5
"
6,24.100597620010376,3667,4,2.0,,,
6,23.72621488571167,3667,11,3.0,,,
6,23.022645950317383,3627,23,5.0,,,
6,23.239007234573364,3668,30,6.0,,,
6,23.345645666122437,3668,9,4.0,,,
6,23.62796688079834,3708,31,6.0,,,
6,23.142679452896118,3628,15,4.0,,,
6,23.34612464904785,3669,17,4.0,,,
6,23.327330112457275,3667,4,1.0,,,
6,23.34198808670044,3668,24,5.0,,,
6,23.07187509536743,3628,2,1.0,,,
6,23.327102661132812,3669,37,7.0,,,
6,32.85560941696167,5154,18,7.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 6
"
7,23.389994144439697,3668,31,5.0,,,
7,23.379798889160156,3669,5,1.0,,,
7,23.1469087600708,3627,11,2.0,,,
7,23.271891117095947,3667,28,6.0,,,
7,23.180612802505493,3667,1,1.0,,,
7,23.20023822784424,3667,26,4.0,,,
7,22.993133306503296,3626,6,1.0,,,
7,23.27218723297119,3669,2,1.0,,,
7,23.26477813720703,3668,9,2.0,,,
7,23.253602981567383,3667,24,7.0,,,
7,23.02906823158264,3617,15,6.0,,,
7,23.321967601776123,3668,7,2.0,,,
7,32.746336460113525,5155,19,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 7
"
8,23.365238189697266,3668,25,4.0,,,
8,23.288811206817627,3667,34,7.0,,,
8,23.048635005950928,3626,9,2.0,,,
8,23.334012508392334,3666,16,4.0,,,
8,23.23633646965027,3668,9,2.0,,,
8,23.30189847946167,3669,4,1.0,,,
8,23.04413604736328,3628,7,1.0,,,
8,23.345823526382446,3669,22,5.0,,,
8,23.503013610839844,3695,44,8.0,,,
8,23.114086151123047,3667,11,4.0,,,
8,23.17239999771118,3667,4,1.0,,,
8,23.093212604522705,3652,56,11.0,,,
8,32.53495001792908,5149,5,3.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 8
"
9,23.251979112625122,3666,11,2.0,,,
9,22.96250867843628,3627,13,3.0,,,
9,23.023905515670776,3627,1,1.0,,,
9,23.172030687332153,3667,33,5.0,,,
9,23.315811157226562,3667,28,5.0,,,
9,23.300554990768433,3667,14,4.0,,,
9,23.102376222610474,3627,7,3.0,,,
9,23.370736598968506,3668,17,4.0,,,
9,23.20731258392334,3669,23,5.0,,,
9,23.179402828216553,3669,12,2.0,,,
9,22.933566331863403,3629,20,4.0,,,
9,23.170869827270508,3667,13,5.0,,,
9,32.939553022384644,5178,15,5.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 9
"
12,23.194435358047485,3651,20,4.0,,,
12,23.249570846557617,3667,20,3.0,,,
12,23.028217792510986,3628,8,1.0,,,
12,23.307043313980103,3667,20,3.0,,,
12,23.34344506263733,3667,0,0.0,,,
12,23.268378973007202,3667,32,6.0,,,
12,23.02908706665039,3627,4,1.0,,,
12,23.334879159927368,3670,53,11.0,,,
12,23.28739309310913,3667,25,7.0,,,
12,23.322770357131958,3667,7,2.0,,,
12,23.12013077735901,3628,16,6.0,,,
12,23.274129629135132,3667,37,8.0,,,
