β,whole_time,opt_step_count,collison_count,oneLoop,oneOpt,Avg.Speed,Max.Speed,Mean_weight,crash_rate,Note
0.5,184.11446690559387,3358,11,54.82860836974207,31.354405824594227,0.01801423,0.047543067,[[0.36 0.64]],6.0,
,,,,,,,,,,"End of iteration for  β value 0.5
"
0.8,222.03920245170593,4046,26,54.8786956133727,31.37033220216654,0.017054247,0.04964024,[[0.3 0.7]],8.0,
0.8,210.619863986969,3841,24,54.83464305831007,31.36686780930062,0.017228086,0.049509797,[[0.3 0.7]],6.0,
0.8,179.18040990829468,3266,18,54.86234228667933,31.381886208342106,0.018812178,0.050626263,[[0.34 0.66]],6.0,
0.8,165.69591093063354,3029,17,54.70317297148681,31.364969783743916,0.018983956,0.049249433,[[0.38 0.62]],6.0,
0.8,209.93416166305542,3838,17,54.69884358078567,31.36317595769615,0.017225,0.047471542,[[0.3 0.7]],6.0,
,,,,,,,,,,"End of iteration for  β value 0.8
"
1,191.6017279624939,3492,22,54.8687651668081,31.41322339386738,0.018167945,0.04650673,[[0.31 0.69]],9.0,
1,204.1929497718811,3717,9,54.93488021842376,31.37765348935788,0.017856902,0.05271743,[[0.3 0.7]],6.0,
1,193.51277589797974,3525,22,54.89724138949779,31.37570293237132,0.018299218,0.05395188,[[0.3 0.7]],4.0,
1,203.01727724075317,3703,19,54.82508162051125,31.344173535958127,0.01797583,0.048901346,[[0.29 0.71]],9.0,
1,178.60838866233826,3256,4,54.85515622307686,31.357962317783066,0.018520787,0.049076173,[[0.33 0.67]],3.0,
,,,,,,,,,,"End of iteration for  β value 1
"
3,183.33596062660217,3347,5,54.776205744428495,31.334269107331934,0.018272363,0.046443094,[[0.31 0.69]],4.0,
3,176.91753101348877,3221,25,54.92627476357925,31.41228496121605,0.018945038,0.050722018,[[0.36 0.64]],7.0,
3,188.49166536331177,3432,17,54.92181391704888,31.37468430267903,0.01847835,0.047144186,[[0.31 0.69]],7.0,
3,149.7910361289978,2736,5,54.748185719662935,31.390949299460964,0.02064601,0.05345658,[[0.38 0.62]],3.0,
3,194.74393916130066,3554,26,54.7957060104954,31.34386057791981,0.017965596,0.04759202,[[0.31 0.69]],6.0,
,,,,,,,,,,"End of iteration for  β value 3
"
5,186.9717526435852,3405,14,54.91094057080329,31.326791438412208,0.01845503,0.05186471,[[0.32 0.68]],8.0,
5,194.65980696678162,3556,14,54.74122805590034,31.33689499008642,0.018069055,0.05637011,[[0.32 0.68]],7.0,
5,173.97109818458557,3169,19,54.89779052842713,31.336830782566814,0.018889097,0.050307095,[[0.34 0.66]],7.0,
5,163.266437292099,2967,10,55.02744768860769,31.386223392210145,0.019613106,0.052095477,[[0.37 0.63]],6.0,
5,182.74589371681213,3329,13,54.895131786365916,31.36322848536869,0.018937303,0.057220384,[[0.32 0.68]],5.0,
,,,,,,,,,,"End of iteration for  β value 5
"
7,178.97001576423645,3260,11,54.89877784179032,31.350019519314447,0.01921695,0.052245755,[[0.35 0.65]],8.0,
7,170.34982562065125,3098,16,54.98703215644004,31.366754917270374,0.0195829,0.051554188,[[0.35 0.65]],7.0,
7,163.12242364883423,2967,9,54.978909217672474,31.331826911697412,0.019394446,0.049011786,[[0.39 0.61]],4.0,
7,186.41350936889648,3398,16,54.85977321038743,31.335845633490496,0.018450622,0.052924346,[[0.32 0.68]],6.0,
7,163.52648830413818,2989,17,54.709430680541374,31.341251301183156,0.019736756,0.051856246,[[0.37 0.63]],8.0,
,,,,,,,,,,"End of iteration for  β value 7
"
9,182.0894660949707,3318,18,54.87928453736308,31.37132063768512,0.018824587,0.046023134,[[0.33 0.67]],8.0,
9,154.08707857131958,2805,7,54.9330048382601,31.314940121084614,0.01978921,0.051262345,[[0.4 0.6]],5.0,
9,165.79482173919678,3022,27,54.86261473831792,31.3431467937366,0.019355988,0.05197684,[[0.37 0.63]],5.0,
9,166.61522507667542,3039,13,54.825674589231795,31.321234905472632,0.019620162,0.048611794,[[0.37 0.63]],5.0,
9,180.43992233276367,3288,20,54.87832187736121,31.327866072202255,0.01870957,0.051475633,[[0.35 0.65]],7.0,
,,,,,,,,,,"End of iteration for  β value 9
"
15,189.32859992980957,3448,14,54.909686754585145,31.33392582913286,0.019030752,0.0508003,[[0.33 0.67]],6.0,
15,170.45845890045166,3106,18,54.880379555844065,31.31240118877855,0.019386524,0.047066435,[[0.37 0.63]],6.0,
15,179.3891942501068,3265,11,54.94309165393776,31.384701896772636,0.019270942,0.050257437,[[0.34 0.66]],6.0,
15,166.20447850227356,3026,28,54.92547207609833,31.366310841345424,0.019799229,0.050772067,[[0.36 0.64]],7.0,
15,174.70949339866638,3184,10,54.87107204731984,31.317728323553077,0.019061958,0.05117652,[[0.36 0.64]],4.0,
,,,,,,,,,,"End of iteration for  β value 15
"
20,178.53619956970215,3255,10,54.84983089698991,31.304683406964607,0.019248456,0.051119097,[[0.34 0.66]],4.0,
20,177.49397444725037,3239,8,54.7990041516673,31.31389846106892,0.019480625,0.053460795,[[0.35 0.65]],6.0,
20,167.8382351398468,3058,20,54.884968979675214,31.33582211226868,0.019394128,0.049378432,[[0.37 0.63]],6.0,
20,219.228200674057,3997,10,54.84818630824544,31.327635877455123,0.018105844,0.049694546,[[0.3 0.7]],6.0,
20,174.8041217327118,3177,8,55.021756919330116,31.34812609294619,0.020046832,0.051447023,[[0.36 0.64]],4.0,
,,,,,,,,,,"End of iteration for  β value 20
"
30,197.92081427574158,3609,15,54.84090171120576,31.352585588805596,0.018443627,0.04988224,[[0.34 0.66]],7.0,
30,179.78442549705505,3278,11,54.84576738775322,31.37038254461469,0.018992819,0.051840566,[[0.37 0.63]],5.0,
30,170.04219770431519,3101,13,54.834633248731116,31.308013444867917,0.019687645,0.0544367,[[0.38 0.62]],7.0,
30,190.82826232910156,3484,18,54.77275038148725,31.3057443030803,0.018572263,0.05663265,[[0.34 0.66]],6.0,
30,159.89102435112,2917,14,54.813515375769626,31.32596055162578,0.019895025,0.056231514,[[0.39 0.61]],7.0,
,,,,,,,,,,"End of iteration for  β value 30
"
40,196.506427526474,3573,39,54.99760076307696,31.354630590652903,0.01854699,0.049391896,[[0.34 0.66]],8.0,
40,191.79369807243347,3490,30,54.95521434740214,31.374401076133747,0.018494058,0.049116366,[[0.35 0.65]],8.0,
40,174.6728310585022,3184,30,54.859557493248175,31.378705447642645,0.01920553,0.053351395,[[0.37 0.63]],10.0,
40,204.27804708480835,3720,16,54.9134535174216,31.35624547158518,0.018174836,0.048792247,[[0.34 0.66]],7.0,
40,160.82892084121704,2940,12,54.70371457184253,31.30025490611589,0.020270353,0.053324077,[[0.39 0.61]],5.0,
,,,,,,,,,,"End of iteration for  β value 40
"
50,187.62730646133423,3423,16,54.813703319116044,31.320656805124823,0.019049047,0.048028357,[[0.36 0.64]],8.0,
50,197.9611301422119,3614,11,54.776184322692835,31.30822143438579,0.018404754,0.04758091,[[0.32 0.68]],7.0,
50,171.2579550743103,3118,22,54.92557892056135,31.392765779232196,0.019731492,0.05056332,[[0.39 0.61]],8.0,
50,156.47003555297852,2860,8,54.70980264090158,31.36262885340444,0.020481866,0.050051916,[[0.41 0.59]],4.0,
50,163.10366344451904,2976,18,54.80633852302387,31.35809887160537,0.019784532,0.049239915,[[0.4 0.6]],6.0,
,,,,,,,,,,"End of iteration for  β value 50
"
100,190.58533310890198,3483,34,54.71872900054608,31.338252043744596,0.018506989,0.050948106,[[0.36 0.64]],9.0,
100,154.01603984832764,2807,24,54.86855712444875,31.337625410448926,0.020646483,0.04983279,[[0.42 0.58]],8.0,
100,194.6419894695282,3558,14,54.705449541744855,31.29210922408466,0.01922695,0.051533855,[[0.34 0.66]],5.0,
100,182.99550008773804,3335,20,54.87121441911186,31.315639101225756,0.019117257,0.047868505,[[0.36 0.64]],6.0,
100,165.6315643787384,3014,13,54.95406913694041,31.35367173901756,0.020123832,0.05089338,[[0.42 0.58]],5.0,
,,,,,,,,,,"End of iteration for  β value 100
"
200,175.18130779266357,3193,11,54.86417406597669,31.359245289540613,0.019782051,0.053216014,[[0.37 0.63]],9.0,
200,157.75917744636536,2878,15,54.81555852896642,31.362565214887436,0.02028423,0.05631253,[[0.43 0.57]],6.0,
