lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,path_length,Note
6.824911117553711,1015,17,5.0,0.1180355999120388,0.2148851242096401,11.979375542942101,
6.7891271114349365,1029,7,1.0,0.11981407729345882,0.2173704585684605,12.328324124762652,
6.527949094772339,989,3,1.0,0.1256595315861865,0.2052969365305131,12.426899446408196,
6.7685863971710205,1028,5,1.0,0.12136940223726338,0.20286633532231083,12.475702195242057,
7.033381223678589,1030,10,2.0,0.1253403586184613,0.2236546499434784,12.909208272521626,
7.307964086532593,1029,29,5.0,0.12288096516945539,0.22144682145318756,12.643790010262805,
6.580159664154053,993,7,1.0,0.12871897258340287,0.21471650631181846,12.780866019983455,
6.829841375350952,1035,16,2.0,0.12541375271943894,0.21430810338199668,12.979960889211025,
6.665454864501953,1014,7,2.0,0.12076553822433583,0.2234223488501724,12.245279602432461,
6.763214111328125,1029,18,3.0,0.12278882967533442,0.2155539411702696,12.63442635298766,
6.447460174560547,978,8,2.0,0.12539715611492402,0.21437940832321073,12.26265868811337,
6.7155680656433105,1016,24,4.0,0.12086708787588285,0.22178572567649454,12.279603162235114,
6.79071307182312,1029,16,3.0,0.12107977825490962,0.21829900357352783,12.458639816352427,
6.794076442718506,1032,10,2.0,0.12084781674818053,0.22260126038866884,12.470401279670073,
6.533966541290283,988,0,0.0,0.1287476031941035,0.2263251305408536,12.719607177412401,
6.542957305908203,990,13,4.0,0.12204944894629664,0.215027259645975,12.081980357176487,
6.74470816552639,1014.0,11.875,2.375,0.12311099494710459,0.21699618836816112,12.47979518360712,one-footnote FOR Parallel MPPI


7.55793309211731,1193,1,1.0,0.11427024257266381,0.22078239650977288,13.631359445286297,
6.155296802520752,1077,0,0.0,0.12374122791339057,0.22494435640326618,13.326036142095848,
6.437743186950684,1114,0,0.0,0.11797677787174879,0.22574282280336855,13.141506734143329,
6.458517074584961,1113,2,1.0,0.11990759041610063,0.22929661261972734,13.344557563219784,
6.875990867614746,1184,0,0.0,0.1185050167755645,0.22918633627862034,14.02996758958575,
7.327463388442993,1265,0,0.0,0.11356384472559158,0.228620839234508,14.365289848112003,
6.808658599853516,1182,2,1.0,0.11716588163704814,0.2281795691669942,13.848052467835304,
7.010254383087158,1186,2,1.0,0.11770269849155103,0.23374117491130195,13.958574042156421,
6.806933164596558,1185,0,0.0,0.11788992363343845,0.22686691336968717,13.969843702218142,
6.820494651794434,1186,0,0.0,0.11801007515080625,0.2284219895901758,13.995387514846701,
6.542294979095459,1139,3,2.0,0.11963787349077398,0.2329889078221586,13.625921817939478,
6.525302410125732,1034,2,1.0,0.13041455861171083,0.22435335905965978,13.484054993291977,
7.02741551399231,1153,0,0.0,0.11914961111889374,0.22352596181837317,13.73693442306882,
6.329672336578369,1074,0,0.0,0.12570934559311236,0.22623796492389933,13.50106582261467,
7.262781620025635,1224,1,1.0,0.11278853980260894,0.2299507822637407,13.804193095065584,
6.971349716186523,1196,0,0.0,0.11460931291044917,0.22371252257738947,13.707157865670963,
6.807381361722946,1156.5625,0.8125,0.5,0.11881515754471579,0.22728453183454017,13.71686894169694,one-footnote FOR Single MPPI
