whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,oneLoop,oneOpt,Note
[-0.40. 0.40] 执行0.075
125.348,2273.0,1.5,2.5,47.373,183.587,0.298,0.697,0.487,55.15,34.09,
127.597,2273.0,1.5,2.5,47.373,183.587,0.298,0.697,0.487,54.31,33.565,
================================================================0.075
128.551,2078,1,5.0,47.084,182.173,0.302,0.724,0.51914704,61.86285296578724,35.1909836171566,
117.408,1983,3,5.0,46.336,177.838,0.312,0.711,0.49901718,59.207521300092225,35.64955811878075,
117.566,2080,0,0.0,46.902,181.487,0.301,0.684,0.49331793,56.52200602568113,34.78158460213588,
6.492,117,0,0.0,2.736,11.164,0.314,0.541,0.5412263,55.48667907714844,34.83355554760012,
92.504,1564.5,1.0,2.5,35.764,138.166,0.307,0.665,0.513,58.27,35.114,
121.175,2047.0,1.0,2.5,46.774,180.499,0.307,0.706,0.513,58.27,35.114,

================================================================ 充实数据PM 
测试多组 微调judge-policy weight
==        goal_w_to_coll_w = {
==            10: [80, 90 ,100, 120, 150],
==            20: [130,140, 150, 180,  200, 220, 250],
==        }
