whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
[-0.30, 0.30] 执行0.07


139.927,2422,3,10.0,51.586,202.938,0.305,0.835,20,250,57.77338326814055,33.72997946231253
136.412,2362,0,0.0,50.713,198.408,0.307,0.77,20,250,57.75274632847178,33.76884020353958
149.842,2595,0,0.0,53.605,206.937,0.295,0.767,20,250,57.742480368053755,33.71916065326316

143.655,2486.5,1.25,3.75,52.451,204.108,0.302,0.777,20.0,250.0,57.773,33.743
143.655,2486.5,1.25,3.75,52.451,204.108,0.302,0.757,20.0,250.0,57.773,33.743

121.755,2045,226,50.0,43.544,176.777,0.304,0.847,50,80,59.538014302335334,34.546193400338694
117.567,1922,146,45.0,43.04,171.481,0.32,0.813,50,80,61.169341625209654,35.5089873106497
122.997,2021,198,45.0,43.718,177.823,0.309,0.757,50,80,60.85934502131157,35.458489611029684
113.064,1857,120,40.0,42.292,168.423,0.326,0.773,50,80,60.88535966703695,35.57859856272231
118.846,1961.25,172.5,45.0,43.148,173.626,0.315,0.798,50.0,80.0,60.613,35.273
118.846,1961.25,172.5,45.0,43.148,173.626,0.315,0.798,50.0,80.0,60.971,35.515
129.212,2090,179,35.0,45.099,180.476,0.309,0.785,50,100,61.82379722595215,35.979805152382006
112.524,2056,90,45.0,43.707,177.172,0.304,0.823,50,100,54.7296948701955,31.813556814008187
116.859,2169,96,30.0,44.324,180.107,0.292,0.82,50,100,53.87685979330468,31.390175834785907
115.608,2142,117,35.0,44.348,180.154,0.296,0.761,50,100,53.97206706270562,31.423374495697736
118.551,2114.25,120.5,36.25,44.37,179.477,0.3,0.797,50.0,100.0,56.101,32.652
114.997,2114.25,120.5,33.333,44.126,180.246,0.3,0.797,50.0,100.0,54.193,31.542
115.034,2138,43,20.0,45.645,184.302,0.305,0.744,50,150,53.80434963165654,31.373694748160325
107.296,1992,69,50.0,46.608,183.316,0.335,0.739,50,150,53.86322772646525,31.384980582807913
132.21,2451,112,55.0,48.199,195.7,0.281,0.766,50,150,53.941180588322624,31.424898655742396
108.645,2021,35,40.0,46.24,183.149,0.327,0.752,50,150,53.75794559820403,31.390787645591953
115.796,2150.5,64.75,41.25,46.673,186.617,0.312,0.75,50.0,150.0,53.842,31.394
115.796,2150.5,64.75,41.25,46.673,183.589,0.312,0.75,50.0,150.0,53.842,31.394
110.337,2049,35,40.0,46.544,184.137,0.325,0.799,50,200,53.84932080962822,31.42046067352816
114.837,2136,46,45.0,47.503,187.405,0.318,0.818,50,200,53.762641180767105,31.385493747303997
91.27,1700,23,25.0,43.677,174.612,0.367,0.831,50,200,53.68804342606488,31.34790672975428
118.171,2199,32,40.0,47.798,192.628,0.311,0.775,50,200,53.73844714422777,31.354641903525543
108.654,2021.0,34.0,37.5,46.38,184.696,0.33,0.806,50.0,200.0,53.76,31.377
108.654,2021.0,34.0,41.667,46.38,184.696,0.318,0.806,50.0,200.0,53.76,31.377
122.202,2273,13,35.0,49.582,195.64,0.312,0.79,50,250,53.76240381626007,31.372778855175685
