whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,goal_w,collision_w,oneLoop,oneOpt,Note
125.528,2247,2,10.0,48.142,182.046,0.286,0.644,0.4966219,10,80,55.864809245918934,31.841712259004847,
127.921,2289,4,15.0,48.024,183.162,0.28,0.659,0.45594013,10,80,55.88492747215581,31.91703321007778,
120.585,2101,1,5.0,46.105,176.004,0.293,0.696,0.5105549,10,80,57.394051994385464,32.774549844661024,
123.091,2187,4,15.0,48.104,183.592,0.294,0.7,0.49419823,10,80,56.28300552560032,32.03067912540863,
124.281,2206.0,2.75,11.25,47.594,181.201,0.288,0.675,0.489,10.0,80.0,56.357,32.141,
124.281,2206.0,2.75,11.25,48.09,182.933,0.288,0.675,0.5,10.0,80.0,56.357,31.93,
128.333,2280,2,10.0,47.659,184.083,0.279,0.669,0.48191586,10,90,56.286299437807315,32.02101766017446,
140.335,2489,1,5.0,50.013,190.39,0.268,0.685,0.42255318,10,90,56.38213203632482,32.01619196532002,
22.975,385,9,5.0,7.084,28.094,0.247,0.523,0.4234223,10,90,59.67631525807567,33.18053034992961,
