whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,goal_w,collision_w,oneLoop,oneOpt,Note
135.161,2351.0,1.0,2.5,48.688,187.653,0.276,0.656,0.399,10.0,120.0,57.483,32.946,
129.345,2198,0,0.0,46.94,183.954,0.285,0.693,0.38844255,10,150,58.84648085291327,33.702918352920214,
124.488,2110,0,0.0,46.372,180.236,0.293,0.669,0.40674484,10,150,58.99894282716146,33.72978870337608,
142.429,2486,0,0.0,50.389,191.754,0.27,0.709,0.35220733,10,150,57.29246081983669,32.83530583999278,
152.968,2654,0,0.0,50.681,195.474,0.255,0.608,0.33109912,10,150,57.63679891038677,32.98530681023673,
137.308,2362.0,0.0,0.0,48.595,187.854,0.276,0.67,0.37,10.0,150.0,58.194,33.313,
137.308,2362.0,0.0,0.0,48.595,187.854,0.276,0.67,0.37,10.0,150.0,58.194,33.313,
147.22,2569,3,10.0,49.713,192.201,0.258,0.623,0.48001146,20,130,57.30632410387252,32.79717416789291,
128.512,2245,2,5.0,47.199,183.095,0.281,0.673,0.5241115,20,130,57.243573479769225,32.73414620312391,
132.278,2304,0,0.0,47.29,184.842,0.274,0.653,0.5295884,20,130,57.412187465363075,32.915600368546116,
126.627,2196,1,5.0,46.417,178.454,0.282,0.676,0.5701802,20,130,57.66262502183897,33.112081022210454,
133.659,2328.5,1.5,5.0,47.655,184.648,0.274,0.656,0.526,20.0,130.0,57.406,32.89,
133.659,2328.5,1.5,5.0,46.969,184.648,0.274,0.656,0.526,20.0,130.0,57.406,32.89,
132.112,2293,0,0.0,48.158,188.968,0.28,0.651,0.50885767,20,140,57.61558365936212,33.1051923591291,
116.5,2029,0,0.0,45.429,176.225,0.299,0.651,0.5860754,20,140,57.41762539152443,32.97198024390659,
142.303,2509,13,15.0,49.617,193.023,0.264,0.666,0.460066,20,140,56.716839694178596,32.59184950611514,
120.784,2103,3,5.0,44.952,174.502,0.285,0.658,0.55563146,20,140,57.43418043701636,32.98786057215104,
127.925,2233.5,4.0,5.0,47.039,183.18,0.282,0.656,0.528,20.0,140.0,57.296,32.914,
127.925,2233.5,4.0,5.0,47.039,183.18,0.282,0.656,0.528,20.0,140.0,57.489,33.022,
131.867,2267,0,0.0,47.763,184.954,0.281,0.641,0.47486314,20,150,58.16819628903558,33.35582047871782,
108.075,1875,1,5.0,44.465,171.728,0.317,0.668,0.570692,20,150,57.64006678263346,33.106717046101885,
150.039,2695,3,10.0,50.573,196.672,0.25,0.672,0.40904576,20,150,55.67322918568118,32.02152137190159,
127.85,2294,0,0.0,47.432,184.195,0.276,0.663,0.476745,20,150,55.73230488152741,32.072801951647016,
129.458,2282.75,1.0,3.75,47.558,184.387,0.281,0.661,0.483,20.0,150.0,56.803,32.639,
129.458,2282.75,1.0,3.75,47.558,184.387,0.281,0.661,0.454,20.0,150.0,56.803,32.639,
144.732,2603,3,10.0,50.706,196.199,0.26,0.615,0.38489866,20,180,55.601881322519986,32.05426344723139,
136.429,2454,1,5.0,48.653,189.992,0.265,0.639,0.42570466,20,180,55.59448809184577,32.03217130224201,
128.025,2303,2,5.0,47.984,184.593,0.278,0.717,0.4476761,20,180,55.59033214968285,32.08562595866009,
126.864,2283,0,0.0,47.389,184.562,0.277,0.623,0.457075,20,180,55.56900408306615,32.13252062553175,
134.013,2410.75,1.5,5.0,48.683,188.836,0.27,0.649,0.429,20.0,180.0,55.589,32.076,
134.013,2410.75,1.5,5.0,48.683,188.836,0.27,0.626,0.429,20.0,180.0,55.589,32.076,
134.631,2426,2,5.0,47.785,192.437,0.263,0.674,0.4142567,20,200,55.49505291551179,31.98796004572882,
147.929,2669,3,15.0,51.646,200.302,0.258,0.585,0.37111685,20,200,55.42490374242469,32.014125382333006,
124.846,2253,2,5.0,48.554,187.275,0.288,0.709,0.45253325,20,200,55.41323165707307,31.97685380115331,
114.916,2072,1,5.0,46.455,181.007,0.299,0.683,0.48419785,20,200,55.46119671070437,32.03796926152292,
130.58,2355.0,2.0,7.5,48.61,190.255,0.277,0.663,0.431,20.0,200.0,55.449,32.004,
130.58,2355.0,2.0,5.0,48.61,190.255,0.277,0.689,0.431,20.0,200.0,55.449,32.004,
120.882,2179,0,0.0,47.594,185.685,0.291,0.726,0.44362506,20,220,55.47581675294453,32.02221009533249,
130.164,2349,2,10.0,48.565,187.697,0.276,0.672,0.42266116,20,220,55.4126690376967,31.960397540076638,
126.492,2285,0,0.0,47.824,185.449,0.279,0.636,0.42253727,20,220,55.35764746384235,31.952505716870597,
130.009,2348,1,5.0,49.27,188.394,0.28,0.706,0.4281133,20,220,55.37010386611575,31.941220240454864,
126.887,2290.25,0.75,3.75,48.313,186.806,0.282,0.685,0.429,20.0,220.0,55.404,31.969,
126.887,2290.25,0.75,3.75,48.313,186.806,0.278,0.685,0.429,20.0,220.0,55.404,31.951,
124.971,2257,1,5.0,47.907,185.298,0.283,0.636,0.39800188,20,250,55.370466974281236,31.975139069462116,
142.529,2567,0,0.0,49.925,194.07,0.26,0.65,0.34770906,20,250,55.52345247272392,32.031082391831774,
128.972,2332,3,10.0,48.341,185.666,0.277,0.666,0.3880889,20,250,55.305524101388194,31.979050071938776,
134.641,2432,2,10.0,49.532,189.628,0.272,0.666,0.36227167,20,250,55.362079684671606,31.95293365340484,
132.778,2397.0,1.5,6.25,48.926,188.666,0.273,0.654,0.374,20.0,250.0,55.39,31.985,
132.778,2397.0,1.5,6.25,48.926,188.666,0.273,0.654,0.374,20.0,250.0,55.346,31.969,
