whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,Mean_weight,goal_w,collision_w,oneLoop,oneOpt,Note
134.506,2298,0,0.0,46.837,183.708,0.272,0.63,0.47252563,10,80,58.53197883791878,33.59032092247972,
118.701,2024,1,5.0,45.414,174.491,0.299,0.698,0.54215384,10,80,58.64666160858667,33.639935047730155,
154.344,2530,0,0.0,49.914,193.923,0.263,0.639,0.41389024,10,80,61.00539868999376,35.160985765721016,
120.804,1970,0,0.0,45.582,177.375,0.309,0.708,0.5483223,10,80,61.32205065131792,35.499073406161386,
132.089,2205.5,0.25,1.25,46.937,182.374,0.286,0.669,0.494,10.0,80.0,59.877,34.473,
132.089,2205.5,0.0,0.0,46.937,182.374,0.286,0.669,0.494,10.0,80.0,59.877,34.473,
125.905,2049,0,0.0,45.721,177.659,0.298,0.687,0.5242167,10,90,61.447232103510686,35.589476339173586,
144.676,2352,1,5.0,48.372,188.006,0.274,0.658,0.42997485,10,90,61.51196036209054,35.5838631488839,
131.954,2131,0,0.0,47.355,182.799,0.297,0.637,0.47912288,10,90,61.92104842169416,35.909283726162776,
156.969,2549,1,5.0,49.711,194.72,0.26,0.674,0.42086583,10,90,61.58080527528963,35.55751090051614,
139.876,2270.25,0.5,2.5,47.79,185.796,0.282,0.664,0.464,10.0,90.0,61.615,35.66,
139.876,2270.25,0.5,2.5,47.79,185.796,0.282,0.664,0.464,10.0,90.0,61.513,35.577,
136.727,2236,0,0.0,46.6,183.49,0.278,0.708,0.43075174,10,100,61.14790616606983,35.30379495381882,
119.647,2087,0,0.0,45.306,177.106,0.29,0.673,0.4870063,10,100,57.329760593949864,32.55839432376849,
114.406,2005,0,0.0,45.499,176.346,0.303,0.672,0.45594835,10,100,57.0605343416742,32.429322815892704,
138.356,2418,1,5.0,49.209,190.705,0.272,0.642,0.40685612,10,100,57.21929183767491,32.63434977251404,
127.284,2186.5,0.25,1.25,46.654,181.912,0.286,0.674,0.445,10.0,100.0,58.189,33.231,
127.284,2186.5,0.0,0.0,46.654,181.912,0.286,0.662,0.445,10.0,100.0,57.203,32.541,
130.147,2290,2,5.0,48.46,187.662,0.282,0.699,0.39380738,10,120,56.8326254598959,32.61825163812096,
144.621,2514,0,0.0,49.127,192.262,0.261,0.638,0.35102805,10,120,57.52616177121134,32.913151580185385,
128.964,2256,0,0.0,48.257,187.452,0.285,0.679,0.4001768,10,120,57.16478222228111,32.77803471325137,
136.911,2344,2,5.0,48.906,187.844,0.278,0.606,0.40449938,10,120,58.40928440614772,33.47416664553177,
135.161,2351.0,1.0,2.5,48.688,188.805,0.276,0.656,0.387,10.0,120.0,57.483,32.946,
