whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
131.117,2270,6,20.0,48.232,190.218,0.304,0.731,10.0,80,57.76083942026819,32.79579063869257
129.223,2258,8,15.0,48.138,192.045,0.305,0.725,10.0,80,57.22897289282881,32.434082115720706
143.641,2504,17,35.0,51.769,197.283,0.296,0.667,10.0,80,57.36480029627157,32.50601097417716
134.66,2344.0,10.333,23.333,49.38,193.182,0.302,0.708,10.0,80.0,57.452,32.579
134.66,2344.0,10.333,23.333,49.38,193.182,0.302,0.708,10.0,80.0,57.452,32.579
136.038,2362,2,10.0,50.087,194.131,0.303,0.748,10.0,100,57.59448191556357,32.67331803682797
130.062,2265,7,15.0,49.743,189.806,0.314,0.829,10.0,100,57.42238478418481,32.57533551315072
145.622,2526,12,30.0,52.592,202.832,0.298,0.741,10.0,100,57.649273204123894,32.72942683098341
137.241,2384.333,7.0,18.333,50.807,195.59,0.305,0.773,10.0,100.0,57.555,32.659
137.241,2384.333,7.0,18.333,50.807,195.59,0.305,0.773,10.0,100.0,57.555,32.659
147.276,2546,1,5.0,53.948,202.098,0.303,0.801,10.0,120,57.84595771184234,32.771686260286316
154.911,2681,11,25.0,55.012,208.483,0.293,0.714,10.0,120,57.781143892794034,32.78444392251595
155.645,2688,11,30.0,55.221,208.449,0.294,0.798,10.0,120,57.90379856313978,32.82362754855837
152.611,2638.333,7.667,20.0,54.727,206.343,0.297,0.771,10.0,120.0,57.844,32.793
152.611,2638.333,7.667,20.0,54.727,206.343,0.297,0.771,10.0,120.0,57.844,32.793
150.228,2596,3,10.0,54.533,207.555,0.3,0.805,10.0,140,57.86910446472638,32.77959974227224
138.083,2382,2,5.0,51.604,195.635,0.31,0.802,10.0,140,57.969400804649375,32.88002268393234
135.085,2337,2,5.0,50.899,194.419,0.311,0.789,10.0,140,57.80272530754458,32.768051288655336
141.132,2438.333,2.333,6.667,52.345,199.203,0.307,0.799,10.0,140.0,57.88,32.809
141.132,2438.333,2.333,6.667,52.345,199.203,0.307,0.799,10.0,140.0,57.88,32.809
136.789,2361,8,15.0,51.723,198.608,0.313,0.795,10.0,160,57.936710909431845,32.88187641352226
146.674,2532,3,10.0,53.129,206.871,0.3,0.765,10.0,160,57.92803965850276,32.801740730731595
141.495,2446,1,5.0,52.686,199.558,0.308,0.746,10.0,160,57.84734769230092,32.82317409530977
