whole_time,opt_step_count,collision_count,crash_rate,ee_path_length,joints_path_length,Avg.Speed,Max.Speed,goal_w,collision_w,oneLoop,oneOpt
119.482,2202.333,29.667,31.667,48.075,189.89,0.312,0.759,20.0,100.0,54.253,31.123
123.366,2277,27,30.0,48.516,190.844,0.305,0.683,20.0,120,54.17902520941599,31.118112538119497
106.316,1962,13,30.0,46.15,181.505,0.336,0.734,20.0,120,54.18782824770026,31.120017034198163
124.509,2297,23,30.0,49.29,192.134,0.307,0.746,20.0,120,54.204941730059176,31.13295090525473
118.064,2178.667,21.0,30.0,47.985,188.161,0.316,0.721,20.0,120.0,54.191,31.124
118.064,2178.667,21.0,30.0,47.985,188.161,0.316,0.721,20.0,120.0,54.191,31.124
126.528,2337,8,25.0,50.065,196.743,0.306,0.747,20.0,140,54.14142320948786,31.076676936347514
120.652,2226,6,10.0,49.156,190.678,0.316,0.721,20.0,140,54.201122564125576,31.08598858198387
109.676,2025,7,25.0,47.502,187.691,0.335,0.748,20.0,140,54.16085090166257,31.118760167816536
118.952,2196.0,7.0,20.0,48.908,191.704,0.319,0.739,20.0,140.0,54.168,31.094
118.952,2196.0,7.0,20.0,48.908,191.704,0.319,0.739,20.0,140.0,54.168,31.094
113.314,2091,1,5.0,47.796,189.139,0.327,0.762,20.0,160,54.19138730969057,31.10807994402863
115.797,2136,5,10.0,48.027,191.348,0.322,0.728,20.0,160,54.2120590861817,31.110524684748846
122.702,2262,5,15.0,50.261,197.961,0.318,0.758,20.0,160,54.24508038713908,31.084784462217943
117.271,2163.0,3.667,10.0,48.695,192.816,0.322,0.749,20.0,160.0,54.216,31.101
117.271,2163.0,3.667,10.0,48.695,192.816,0.322,0.749,20.0,160.0,54.216,31.101
127.406,2351,11,30.0,51.609,201.395,0.314,0.763,20.0,180,54.1921503642223,31.10059328862121
110.305,2032,7,15.0,47.297,184.899,0.333,0.726,20.0,180,54.28401339711167,31.108024786776443
140.551,2593,8,20.0,53.844,209.304,0.297,0.75,20.0,180,54.20410858357316,31.090767559194216
126.087,2325.333,8.667,21.667,50.917,198.533,0.315,0.746,20.0,180.0,54.227,31.1
126.087,2325.333,8.667,21.667,50.917,198.533,0.315,0.746,20.0,180.0,54.227,31.1
123.16,2271,3,10.0,50.552,195.425,0.318,0.764,20.0,200,54.23143244902503,31.104079535856798
130.212,2404,4,5.0,52.525,202.339,0.312,0.823,20.0,200,54.16491404547667,31.11444445894086
110.786,2043,1,5.0,47.349,186.916,0.331,0.689,20.0,200,54.22736042805063,31.108873472806582
121.386,2239.333,2.667,6.667,50.142,194.893,0.32,0.759,20.0,200.0,54.208,31.109
121.386,2239.333,2.667,6.667,50.142,194.893,0.32,0.759,20.0,200.0,54.208,31.109
127.374,2348,1,5.0,50.698,198.543,0.309,0.754,20.0,220,54.24800997495245,31.105470413649915
