β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
9,3500,29,7.5,17.234,0.118,0.238,,
9,3501,20,2.5,18.577,0.127,0.238,,
9,3501,2,2.5,18.273,0.125,0.234,,
9.0,3500.75,12.75,3.125,18.213,0.124,0.236,,average
9.0,3501.0,12.75,1.667,18.213,0.124,0.236,,averages_no_outliers
12,3501,1,2.5,18.976,0.129,0.239,,
12,3500,2,5.0,18.827,0.129,0.235,,
12,3501,3,2.5,18.785,0.128,0.232,,
12,3501,28,7.5,17.858,0.122,0.231,,
12.0,3500.75,8.5,4.375,18.612,0.127,0.234,,average
12.0,3501.0,2.0,4.375,18.863,0.129,0.234,,averages_no_outliers
15,3500,11,2.5,18.228,0.124,0.238,,
15,3500,25,5.0,18.248,0.125,0.236,,
15,3501,3,5.0,18.956,0.129,0.236,,
15,3500,2,5.0,18.918,0.129,0.23,,
15.0,3500.25,10.25,4.375,18.588,0.127,0.235,,average
15.0,3500.0,10.25,5.0,18.588,0.127,0.237,,averages_no_outliers
20,3501,33,10.0,17.306,0.118,0.234,,
20,3500,29,7.5,18.186,0.124,0.232,,
20,3500,7,10.0,18.942,0.129,0.235,,
20,3500,10,2.5,18.173,0.124,0.238,,
20.0,3500.25,19.75,7.5,18.152,0.124,0.235,,average
20.0,3500.0,19.75,7.5,18.434,0.126,0.235,,averages_no_outliers
