β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3500,0,0.0,18.992,0.13,0.237,,
0.1,3501,10,5.0,17.886,0.122,0.237,,
0.1,3501,0,0.0,19.106,0.13,0.238,,
0.1,3500,23,7.5,17.742,0.121,0.235,,
0.1,3500.5,8.25,3.125,18.432,0.126,0.237,,average
0.1,3500.5,8.25,3.125,18.432,0.126,0.237,,averages_no_outliers
0.3,3500,8,2.5,17.971,0.123,0.236,,
0.3,3500,1,2.5,18.9,0.129,0.238,,
0.3,3501,14,5.0,18.335,0.125,0.237,,
0.3,3500,3,7.5,18.251,0.124,0.233,,
0.3,3500.25,6.5,4.375,18.364,0.125,0.236,,average
0.3,3500.0,6.5,4.375,18.364,0.125,0.236,,averages_no_outliers
0.5,3500,18,2.5,17.419,0.119,0.23,,
0.5,3500,1,2.5,18.244,0.125,0.237,,
0.5,3500,3,5.0,18.864,0.128,0.236,,
0.5,3500,2,2.5,19.134,0.13,0.236,,
0.5,3500.0,6.0,3.125,18.415,0.126,0.235,,average
0.5,3500.0,2.0,2.5,18.415,0.126,0.236,,averages_no_outliers
0.8,3501,18,10.0,18.008,0.123,0.237,,
0.8,3501,4,7.5,18.133,0.124,0.234,,
0.8,3500,0,0.0,18.358,0.125,0.235,,
0.8,3501,26,7.5,18.039,0.123,0.237,,
0.8,3500.75,12.0,6.25,18.134,0.124,0.236,,average
0.8,3501.0,12.0,8.333,18.134,0.124,0.236,,averages_no_outliers
1,3501,0,0.0,18.405,0.126,0.237,,
1,3500,1,2.5,18.632,0.127,0.237,,
1,3501,1,2.5,18.332,0.125,0.235,,
1,3501,22,5.0,18.031,0.123,0.236,,
1.0,3500.75,6.0,2.5,18.35,0.125,0.236,,average
1.0,3501.0,0.667,2.5,18.35,0.125,0.236,,averages_no_outliers
2,3500,25,5.0,17.924,0.122,0.235,,
2,3501,3,5.0,18.325,0.125,0.234,,
2,3501,52,5.0,17.026,0.116,0.239,,
2,3500,2,2.5,18.349,0.125,0.231,,
2.0,3500.5,20.5,4.375,17.906,0.122,0.235,,average
2.0,3500.5,20.5,5.0,17.906,0.122,0.235,,averages_no_outliers
3,3501,3,2.5,18.462,0.126,0.236,,
3,3500,5,2.5,19.077,0.13,0.237,,
3,3501,0,0.0,19.089,0.13,0.237,,
3,3500,2,2.5,19.034,0.13,0.237,,
3.0,3500.5,2.5,1.875,18.916,0.129,0.237,,average
3.0,3500.5,2.5,2.5,19.067,0.13,0.237,,averages_no_outliers
4,3501,41,5.0,17.037,0.116,0.229,,
4,3501,42,12.5,16.501,0.113,0.236,,
4,3501,0,0.0,18.845,0.128,0.236,,
4,3500,2,2.5,18.551,0.126,0.229,,
4.0,3500.75,21.25,5.0,17.734,0.121,0.232,,average
4.0,3501.0,21.25,5.0,17.734,0.121,0.232,,averages_no_outliers
5,3501,11,2.5,18.314,0.125,0.235,,
5,3500,42,10.0,17.405,0.119,0.24,,
5,3501,31,10.0,17.158,0.117,0.229,,
5,3500,41,7.5,17.289,0.118,0.234,,
5.0,3500.5,31.25,7.5,17.542,0.12,0.234,,average
5.0,3500.5,31.25,7.5,17.284,0.118,0.234,,averages_no_outliers
6,3501,32,5.0,17.64,0.12,0.234,,
6,3500,15,2.5,18.113,0.124,0.23,,
6,3500,26,7.5,18.286,0.124,0.238,,
6,3501,48,7.5,17.044,0.116,0.233,,
6.0,3500.5,30.25,5.625,17.771,0.121,0.234,,average
6.0,3500.5,30.25,5.625,17.771,0.121,0.234,,averages_no_outliers
7,3501,36,5.0,18.559,0.127,0.234,,
7,3501,41,10.0,16.749,0.114,0.233,,
7,3500,17,2.5,18.444,0.126,0.235,,
7,3501,2,2.5,19.077,0.13,0.235,,
7.0,3500.75,24.0,5.0,18.207,0.124,0.234,,average
7.0,3501.0,24.0,5.0,18.693,0.128,0.234,,averages_no_outliers
8,3501,30,5.0,17.437,0.119,0.233,,
8,3500,32,7.5,17.847,0.122,0.234,,
8,3501,5,2.5,18.962,0.129,0.239,,
8,3500,1,2.5,18.922,0.129,0.235,,
8.0,3500.5,17.0,4.375,18.292,0.125,0.235,,average
8.0,3500.5,17.0,4.375,18.292,0.125,0.235,,averages_no_outliers
9,3501,0,0.0,18.769,0.128,0.232,,
