β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
35,3501,15,5.0,18.099,0.124,0.234,,
35,3501,18,5.0,17.937,0.122,0.238,,
35,3501,0,0.0,18.824,0.128,0.234,,
35.0,3501.0,12.25,3.75,18.228,0.124,0.234,,average
35.0,3501.0,16.333,5.0,18.03,0.124,0.234,,averages_no_outliers
40,3500,0,0.0,18.965,0.129,0.236,,
40,3501,4,7.5,18.269,0.125,0.229,,
40,3500,12,2.5,18.436,0.125,0.236,,
40,3501,3,5.0,18.225,0.124,0.233,,
40.0,3500.5,4.75,3.75,18.474,0.126,0.233,,average
40.0,3500.5,2.333,3.75,18.474,0.125,0.233,,averages_no_outliers
45,3500,0,0.0,18.348,0.125,0.235,,
45,3501,3,5.0,18.803,0.128,0.234,,
45,3501,30,10.0,17.399,0.118,0.234,,
45,3501,12,7.5,18.408,0.125,0.236,,
45.0,3500.75,11.25,5.625,18.24,0.124,0.235,,average
45.0,3501.0,11.25,5.625,18.52,0.126,0.235,,averages_no_outliers
50,3500,26,10.0,17.926,0.122,0.238,,
50,3500,29,5.0,17.361,0.119,0.23,,
50,3501,1,2.5,19.229,0.131,0.24,,
50,3501,4,2.5,18.971,0.129,0.233,,
50.0,3500.5,15.0,5.0,18.372,0.125,0.235,,average
50.0,3500.5,15.0,5.0,18.372,0.125,0.235,,averages_no_outliers
100,3501,14,7.5,18.152,0.124,0.234,,
100,3501,1,2.5,19.075,0.13,0.24,,
100,3500,2,2.5,19.013,0.129,0.238,,
100,3500,3,2.5,18.799,0.128,0.232,,
100.0,3500.5,5.0,3.75,18.76,0.128,0.236,,average
100.0,3500.5,2.0,2.5,18.76,0.128,0.236,,averages_no_outliers
200,3501,6,2.5,18.464,0.126,0.237,,
200,3501,0,0.0,19.04,0.13,0.234,,
200,3501,19,2.5,18.493,0.126,0.236,,
200,3501,5,7.5,18.976,0.129,0.233,,
200.0,3501.0,7.5,3.125,18.743,0.128,0.235,,average
200.0,3501.0,3.667,1.667,18.743,0.128,0.235,,averages_no_outliers
300,3500,19,5.0,18.107,0.124,0.234,,
300,3501,4,5.0,18.937,0.129,0.235,,
300,3501,33,7.5,17.912,0.122,0.235,,
300,3501,1,2.5,18.872,0.129,0.237,,
300.0,3500.75,14.25,5.0,18.457,0.126,0.235,,average
300.0,3501.0,14.25,5.0,18.457,0.126,0.235,,averages_no_outliers
400,3500,16,7.5,18.552,0.127,0.236,,
400,3500,24,7.5,17.396,0.119,0.232,,
400,3500,17,10.0,18.358,0.125,0.235,,
400,3500,2,2.5,18.756,0.128,0.237,,
400.0,3500.0,14.75,6.875,18.266,0.125,0.235,,average
400.0,3500.0,19.0,8.333,18.266,0.125,0.235,,averages_no_outliers
500,3501,0,0.0,17.74,0.121,0.232,,
500,3500,2,2.5,18.787,0.128,0.235,,
500,3501,5,5.0,18.251,0.124,0.236,,
500,3501,8,10.0,18.494,0.126,0.232,,
500.0,3500.75,3.75,4.375,18.318,0.125,0.234,,average
500.0,3501.0,3.75,4.375,18.318,0.125,0.234,,averages_no_outliers
