β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
35,3501,3,5.0,17.788,0.121,0.232,,
35,3500,0,0.0,18.376,0.125,0.231,,
35,3500,0,0.0,17.766,0.121,0.227,,
35.0,3500.25,1.0,1.875,18.072,0.123,0.23,,average
35.0,3500.0,1.0,1.875,18.072,0.123,0.23,,averages_no_outliers
40,3500,0,0.0,18.345,0.125,0.231,,
40,3501,13,5.0,17.011,0.116,0.23,,
40,3500,13,7.5,17.727,0.121,0.233,,
40,3501,0,0.0,18.013,0.123,0.23,,
40.0,3500.5,6.5,3.125,17.774,0.121,0.231,,average
40.0,3500.5,6.5,3.125,17.774,0.121,0.231,,averages_no_outliers
45,3500,1,2.5,18.326,0.125,0.233,,
45,3500,1,2.5,18.361,0.125,0.236,,
45,3501,6,2.5,18.568,0.126,0.232,,
45,3500,1,2.5,17.907,0.122,0.234,,
45.0,3500.25,2.25,2.5,18.29,0.124,0.234,,average
45.0,3500.0,1.0,2.5,18.418,0.125,0.234,,averages_no_outliers
50,3501,0,0.0,19.087,0.13,0.235,,
50,3500,5,2.5,18.437,0.126,0.235,,
50,3501,1,2.5,18.202,0.124,0.236,,
50,3500,0,0.0,18.317,0.125,0.234,,
50.0,3500.5,1.5,1.25,18.511,0.126,0.235,,average
50.0,3500.5,1.5,1.25,18.319,0.126,0.235,,averages_no_outliers
100,3501,2,5.0,18.349,0.125,0.237,,
100,3500,2,2.5,18.524,0.127,0.231,,
100,3500,0,0.0,18.183,0.124,0.232,,
100,3501,12,2.5,17.773,0.121,0.229,,
100.0,3500.5,4.0,2.5,18.207,0.124,0.232,,average
100.0,3500.5,1.333,2.5,18.207,0.124,0.232,,averages_no_outliers
200,3501,1,2.5,18.387,0.125,0.233,,
200,3500,1,2.5,18.179,0.124,0.226,,
200,3501,1,2.5,18.475,0.126,0.234,,
200,3501,0,0.0,18.524,0.126,0.233,,
200.0,3500.75,0.75,1.875,18.391,0.125,0.232,,average
200.0,3501.0,1.0,2.5,18.391,0.125,0.233,,averages_no_outliers
300,3500,0,0.0,18.302,0.125,0.233,,
300,3500,0,0.0,18.1,0.124,0.229,,
300,3500,0,0.0,18.041,0.123,0.222,,
300,3500,0,0.0,18.333,0.125,0.232,,
300.0,3500.0,0.0,0.0,18.194,0.124,0.229,,average
300.0,3500.0,0.0,0.0,18.194,0.124,0.229,,averages_no_outliers
400,3500,0,0.0,17.997,0.123,0.231,,
400,3501,3,7.5,18.18,0.124,0.23,,
400,3500,0,0.0,18.159,0.124,0.236,,
400,3501,0,0.0,17.881,0.122,0.233,,
400.0,3500.5,0.75,1.875,18.054,0.123,0.232,,average
400.0,3500.5,0.0,0.0,18.054,0.123,0.232,,averages_no_outliers
500,3501,4,5.0,17.938,0.122,0.233,,
500,3501,4,5.0,18.116,0.124,0.227,,
500,3501,3,5.0,18.131,0.124,0.227,,
500,3500,0,0.0,18.457,0.126,0.232,,
500.0,3500.75,2.75,3.75,18.16,0.124,0.23,,average
500.0,3501.0,2.75,5.0,18.062,0.124,0.23,,averages_no_outliers
