β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3500,12,5.0,17.485,0.119,0.235,,
0.1,3500,6,7.5,18.16,0.124,0.239,,
0.1,3500,15,5.0,18.304,0.125,0.237,,
0.1,3500,6,7.5,18.38,0.125,0.239,,
0.1,3501,14,12.5,18.294,0.125,0.24,,
0.1,3500.25,10.25,8.125,18.284,0.125,0.239,,average
0.1,3500.0,10.25,6.667,18.326,0.125,0.239,,averages_no_outliers
0.3,3500,25,15.0,18.6,0.127,0.24,,
0.3,3500,16,10.0,18.723,0.128,0.24,,
0.3,3500,22,17.5,18.507,0.126,0.239,,
0.3,3500,8,5.0,18.097,0.124,0.239,,
0.3,3500.0,17.75,11.875,18.482,0.126,0.24,,average
0.3,3500.0,17.75,11.875,18.482,0.126,0.24,,averages_no_outliers
0.5,3501,14,7.5,18.791,0.128,0.24,,
0.5,3500,7,7.5,18.86,0.129,0.241,,
0.5,3500,30,12.5,19.216,0.131,0.239,,
0.5,3500,7,2.5,18.628,0.127,0.239,,
0.5,3500.25,14.5,7.5,18.874,0.129,0.24,,average
0.5,3500.0,14.5,7.5,18.874,0.129,0.24,,averages_no_outliers
0.8,3501,18,12.5,19.147,0.131,0.242,,
0.8,3501,22,10.0,18.393,0.126,0.239,,
0.8,3501,23,12.5,18.7,0.127,0.24,,
0.8,3500,7,2.5,18.889,0.129,0.24,,
0.8,3500.75,17.5,9.375,18.782,0.128,0.24,,average
0.8,3501.0,17.5,9.375,18.782,0.128,0.24,,averages_no_outliers
1,3501,11,10.0,18.665,0.127,0.24,,
1,3500,18,10.0,18.175,0.124,0.239,,
1,3501,12,7.5,18.728,0.128,0.238,,
1,3501,10,7.5,19.24,0.131,0.24,,
1.0,3500.75,12.75,8.75,18.702,0.128,0.239,,average
1.0,3501.0,11.0,8.75,18.702,0.128,0.239,,averages_no_outliers
2,3500,17,7.5,17.924,0.122,0.24,,
2,3500,13,12.5,18.347,0.125,0.237,,
2,3500,15,7.5,18.709,0.127,0.238,,
2,3501,34,17.5,18.64,0.127,0.236,,
2.0,3500.25,19.75,11.25,18.405,0.125,0.238,,average
2.0,3500.0,15.0,11.25,18.405,0.125,0.238,,averages_no_outliers
3,3501,13,7.5,18.596,0.127,0.237,,
3,3501,19,12.5,18.728,0.128,0.238,,
3,3500,4,2.5,18.838,0.128,0.236,,
3,3500,9,7.5,19.308,0.132,0.237,,
3.0,3500.5,11.25,7.5,18.868,0.129,0.237,,average
3.0,3500.5,11.25,7.5,18.868,0.128,0.237,,averages_no_outliers
4,3500,39,20.0,18.033,0.123,0.235,,
4,3500,21,7.5,16.908,0.116,0.234,,
4,3501,25,15.0,17.556,0.119,0.236,,
4,3501,15,10.0,19.077,0.13,0.237,,
4.0,3500.5,25.0,13.125,17.894,0.122,0.236,,average
4.0,3500.5,25.0,13.125,17.894,0.122,0.236,,averages_no_outliers
5,3500,10,7.5,18.235,0.125,0.235,,
5,3501,7,5.0,18.614,0.127,0.237,,
5,3501,7,5.0,18.56,0.126,0.236,,
5,3500,6,5.0,18.17,0.124,0.235,,
5.0,3500.5,7.5,5.625,18.395,0.126,0.236,,average
5.0,3500.5,6.667,5.0,18.395,0.126,0.236,,averages_no_outliers
6,3501,24,17.5,18.244,0.125,0.237,,
6,3500,20,7.5,17.845,0.122,0.236,,
6,3500,12,7.5,18.022,0.123,0.236,,
6,3500,12,5.0,17.865,0.122,0.232,,
6.0,3500.25,17.0,9.375,17.994,0.123,0.235,,average
6.0,3500.0,17.0,6.667,17.994,0.123,0.236,,averages_no_outliers
7,3500,8,5.0,18.346,0.125,0.238,,
7,3500,8,7.5,18.24,0.125,0.236,,
7,3500,7,2.5,18.45,0.126,0.237,,
7,3500,4,2.5,18.496,0.126,0.236,,
7.0,3500.0,6.75,4.375,18.383,0.126,0.237,,average
7.0,3500.0,6.75,4.375,18.383,0.126,0.237,,averages_no_outliers
8,3500,20,10.0,17.745,0.121,0.232,,
8,3501,15,7.5,18.54,0.127,0.235,,
8,3500,14,5.0,18.362,0.125,0.238,,
8,3501,13,10.0,18.558,0.127,0.234,,
8.0,3500.5,15.5,8.125,18.301,0.125,0.235,,average
8.0,3500.5,15.5,8.125,18.301,0.125,0.235,,averages_no_outliers
9,3500,0,0.0,18.57,0.127,0.236,,
9,3500,9,7.5,18.065,0.124,0.235,,
9,3501,6,12.5,18.242,0.124,0.236,,
9,3501,5,5.0,17.879,0.122,0.235,,
9.0,3500.5,5.0,6.25,18.189,0.124,0.236,,average
9.0,3500.5,5.0,6.25,18.189,0.123,0.236,,averages_no_outliers
12,3500,17,10.0,18.846,0.129,0.235,,
12,3501,8,7.5,18.495,0.126,0.236,,
12,3500,23,15.0,18.101,0.123,0.235,,
12,3500,19,12.5,18.032,0.123,0.236,,
12.0,3500.25,16.75,11.25,18.368,0.125,0.236,,average
12.0,3500.0,16.75,11.25,18.368,0.125,0.236,,averages_no_outliers
15,3500,12,5.0,17.802,0.122,0.237,,
15,3500,17,10.0,18.639,0.127,0.236,,
15,3501,7,5.0,18.668,0.127,0.237,,
15,3500,5,2.5,18.716,0.128,0.235,,
15.0,3500.25,10.25,5.625,18.456,0.126,0.236,,average
15.0,3500.0,10.25,4.167,18.674,0.127,0.236,,averages_no_outliers
20,3500,41,17.5,18.165,0.124,0.236,,
20,3500,11,7.5,18.188,0.124,0.235,,
20,3500,28,12.5,18.008,0.122,0.234,,
20,3500,17,10.0,18.453,0.126,0.237,,
20.0,3500.0,24.25,11.875,18.204,0.124,0.236,,average
20.0,3500.0,24.25,11.875,18.12,0.124,0.236,,averages_no_outliers
25,3501,10,5.0,17.999,0.123,0.235,,
25,3501,17,10.0,18.296,0.125,0.233,,
25,3500,0,0.0,18.656,0.127,0.233,,
25,3500,15,10.0,17.476,0.119,0.236,,
25.0,3500.5,10.5,6.25,18.107,0.124,0.234,,average
25.0,3500.5,10.5,6.25,18.107,0.124,0.234,,averages_no_outliers
30,3500,0,0.0,18.308,0.125,0.235,,
30,3501,17,12.5,18.105,0.124,0.233,,
30,3500,2,5.0,18.51,0.126,0.235,,
30,3501,9,10.0,18.45,0.126,0.234,,
30.0,3500.5,7.0,6.875,18.343,0.125,0.234,,average
30.0,3500.5,7.0,6.875,18.343,0.125,0.234,,averages_no_outliers
35,3500,19,7.5,18.418,0.126,0.237,,
35,3501,9,5.0,18.124,0.124,0.237,,
35,3501,15,10.0,18.668,0.127,0.233,,
35,3501,19,7.5,17.878,0.122,0.233,,
35.0,3500.75,15.5,7.5,18.272,0.125,0.235,,average
35.0,3501.0,15.5,7.5,18.272,0.125,0.235,,averages_no_outliers
40,3501,8,5.0,18.29,0.125,0.236,,
40,3500,13,10.0,18.129,0.124,0.233,,
40,3500,23,12.5,18.02,0.123,0.238,,
40,3500,20,12.5,18.64,0.127,0.233,,
40.0,3500.25,16.0,10.0,18.27,0.125,0.235,,average
40.0,3500.0,16.0,10.0,18.27,0.125,0.235,,averages_no_outliers
45,3501,10,5.0,18.302,0.125,0.237,,
45,3501,19,7.5,18.609,0.127,0.234,,
45,3501,23,7.5,18.698,0.127,0.237,,
45,3501,7,10.0,18.118,0.124,0.236,,
45.0,3501.0,14.75,7.5,18.432,0.126,0.236,,average
45.0,3501.0,14.75,7.5,18.432,0.126,0.236,,averages_no_outliers
50,3501,17,7.5,18.689,0.128,0.237,,
50,3500,4,2.5,18.976,0.13,0.235,,
50,3501,23,15.0,18.221,0.124,0.231,,
50,3501,23,15.0,18.328,0.125,0.234,,
50.0,3500.75,16.75,10.0,18.554,0.127,0.234,,average
50.0,3501.0,16.75,10.0,18.554,0.127,0.234,,averages_no_outliers
100,3501,48,22.5,18.549,0.127,0.233,,
100,3501,13,7.5,18.554,0.127,0.236,,
100,3500,15,12.5,17.891,0.122,0.232,,
100,3500,9,7.5,18.49,0.126,0.233,,
100.0,3500.5,21.25,12.5,18.371,0.126,0.233,,average
100.0,3500.5,12.333,12.5,18.531,0.126,0.233,,averages_no_outliers
200,3500,30,12.5,18.077,0.123,0.232,,
200,3500,16,5.0,18.656,0.127,0.234,,
200,3501,19,7.5,17.984,0.122,0.237,,
