β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
200,3500,20,7.5,16.753,0.114,0.235,,
200.0,3500.25,21.25,8.125,17.868,0.122,0.234,,average
200.0,3500.0,18.333,6.667,18.239,0.122,0.234,,averages_no_outliers
300,3500,19,7.5,18.654,0.127,0.238,,
300,3500,5,2.5,18.262,0.125,0.234,,
300,3501,0,0.0,18.605,0.127,0.237,,
300,3500,16,7.5,18.011,0.123,0.232,,
300.0,3500.25,10.0,4.375,18.383,0.126,0.235,,average
300.0,3500.0,10.0,4.375,18.383,0.126,0.235,,averages_no_outliers
400,3501,17,10.0,18.62,0.127,0.233,,
400,3501,17,7.5,18.499,0.126,0.237,,
400,3500,11,5.0,18.565,0.127,0.238,,
400,3500,11,7.5,18.613,0.127,0.235,,
400.0,3500.5,14.0,7.5,18.574,0.127,0.236,,average
400.0,3500.5,14.0,7.5,18.574,0.127,0.236,,averages_no_outliers
500,3500,16,7.5,18.276,0.125,0.233,,
500,3500,11,7.5,18.778,0.128,0.232,,
500,3500,17,10.0,17.441,0.119,0.238,,
500,3500,12,7.5,18.236,0.124,0.235,,
500.0,3500.0,14.0,8.125,18.183,0.124,0.234,,average
500.0,3500.0,14.0,7.5,18.43,0.124,0.234,,averages_no_outliers
