β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
6,3501,5,5.0,18.307,0.125,0.233,,
6,3501,28,7.5,17.891,0.122,0.234,,
6,3501,27,5.0,17.338,0.118,0.233,,
6,3501,39,10.0,16.684,0.114,0.228,,
6.0,3501.0,24.75,6.875,17.555,0.12,0.232,,average
6.0,3501.0,31.333,6.875,17.555,0.12,0.233,,averages_no_outliers
7,3500,2,5.0,18.453,0.126,0.234,,
7,3500,27,12.5,18.014,0.123,0.236,,
7,3500,25,2.5,18.575,0.126,0.233,,
7,3501,13,7.5,18.101,0.123,0.232,,
7.0,3500.25,16.75,6.875,18.286,0.124,0.234,,average
7.0,3500.0,16.75,6.875,18.286,0.124,0.234,,averages_no_outliers
8,3501,31,12.5,18.158,0.124,0.235,,
8,3500,16,12.5,18.214,0.124,0.229,,
8,3500,21,5.0,18.536,0.126,0.237,,
8,3501,25,7.5,17.905,0.122,0.235,,
8.0,3500.5,23.25,9.375,18.203,0.124,0.234,,average
8.0,3500.5,23.25,9.375,18.203,0.124,0.236,,averages_no_outliers
9,3501,5,5.0,18.691,0.128,0.234,,
9,3501,56,7.5,16.819,0.115,0.235,,
9,3501,11,2.5,18.214,0.124,0.233,,
9,3501,21,7.5,17.725,0.121,0.237,,
9.0,3501.0,23.25,5.625,17.862,0.122,0.235,,average
9.0,3501.0,23.25,5.625,17.862,0.122,0.235,,averages_no_outliers
12,3501,20,5.0,18.207,0.124,0.23,,
12,3500,35,12.5,17.102,0.117,0.231,,
12,3500,0,0.0,18.851,0.128,0.236,,
12,3500,6,12.5,19.036,0.13,0.236,,
12.0,3500.25,15.25,7.5,18.299,0.125,0.233,,average
12.0,3500.0,15.25,7.5,18.299,0.125,0.233,,averages_no_outliers
15,3501,25,7.5,17.595,0.12,0.226,,
15,3501,51,7.5,16.728,0.114,0.23,,
15,3501,31,5.0,17.814,0.121,0.234,,
15,3501,3,5.0,18.71,0.127,0.237,,
15.0,3501.0,27.5,6.25,17.712,0.12,0.232,,average
15.0,3501.0,27.5,6.25,17.712,0.12,0.232,,averages_no_outliers
20,3501,33,5.0,17.447,0.119,0.234,,
20,3501,12,2.5,18.549,0.127,0.233,,
20,3501,3,5.0,18.917,0.129,0.233,,
20,3501,7,10.0,18.797,0.128,0.232,,
20.0,3501.0,13.75,5.625,18.428,0.126,0.233,,average
20.0,3501.0,13.75,4.167,18.428,0.128,0.233,,averages_no_outliers
25,3501,3,7.5,18.702,0.128,0.237,,
25,3501,24,7.5,17.759,0.121,0.231,,
25,3500,34,7.5,18.342,0.125,0.233,,
25,3501,28,5.0,17.659,0.12,0.229,,
25.0,3500.75,22.25,6.875,18.115,0.124,0.232,,average
25.0,3501.0,22.25,7.5,18.115,0.124,0.232,,averages_no_outliers
30,3501,31,12.5,17.59,0.12,0.234,,
30,3501,2,5.0,18.223,0.124,0.23,,
30,3500,14,7.5,18.621,0.127,0.235,,
30,3501,25,5.0,18.375,0.125,0.233,,
30.0,3500.75,18.0,7.5,18.202,0.124,0.233,,average
30.0,3501.0,18.0,7.5,18.202,0.124,0.233,,averages_no_outliers
35,3501,6,7.5,18.317,0.125,0.231,,
35,3501,24,12.5,17.857,0.122,0.235,,
35,3500,41,10.0,17.629,0.12,0.232,,
35,3501,1,2.5,18.977,0.129,0.237,,
35.0,3500.75,18.0,8.125,18.195,0.124,0.234,,average
35.0,3501.0,18.0,8.125,18.195,0.124,0.234,,averages_no_outliers
40,3500,12,2.5,17.864,0.122,0.232,,
40,3501,2,5.0,18.488,0.126,0.233,,
40,3500,27,7.5,17.688,0.12,0.23,,
40,3501,18,2.5,18.593,0.127,0.237,,
40.0,3500.5,14.75,4.375,18.158,0.124,0.233,,average
40.0,3500.5,14.75,4.375,18.158,0.124,0.233,,averages_no_outliers
45,3500,3,5.0,18.512,0.126,0.236,,
45,3501,45,15.0,17.232,0.118,0.231,,
45,3500,29,7.5,17.768,0.121,0.235,,
45,3500,32,10.0,17.534,0.119,0.232,,
45.0,3500.25,27.25,9.375,17.761,0.121,0.233,,average
45.0,3500.0,35.333,9.375,17.761,0.121,0.233,,averages_no_outliers
50,3501,8,7.5,18.385,0.125,0.234,,
50,3500,3,5.0,18.256,0.125,0.238,,
50,3500,3,2.5,18.406,0.125,0.236,,
50,3500,3,2.5,18.985,0.129,0.233,,
50.0,3500.25,4.25,4.375,18.508,0.126,0.235,,average
50.0,3500.0,3.0,4.375,18.349,0.125,0.235,,averages_no_outliers
100,3501,3,5.0,18.519,0.126,0.235,,
100,3501,4,7.5,18.59,0.127,0.238,,
100,3500,3,5.0,18.237,0.124,0.235,,
100,3501,21,7.5,17.979,0.122,0.235,,
100.0,3500.75,7.75,6.25,18.331,0.125,0.236,,average
100.0,3501.0,3.333,6.25,18.331,0.125,0.235,,averages_no_outliers
200,3501,57,7.5,17.481,0.119,0.235,,
200,3500,54,5.0,17.076,0.117,0.239,,
200,3500,28,7.5,18.014,0.123,0.234,,
200,3500,0,0.0,18.281,0.125,0.229,,
200.0,3500.25,34.75,5.0,17.713,0.121,0.234,,average
200.0,3500.0,34.75,5.0,17.713,0.121,0.234,,averages_no_outliers
300,3501,26,10.0,17.221,0.117,0.235,,
300,3500,3,5.0,18.99,0.13,0.232,,
300,3501,33,2.5,18.74,0.128,0.237,,
300,3501,18,7.5,18.317,0.125,0.233,,
300.0,3500.75,20.0,6.25,18.317,0.125,0.234,,average
300.0,3501.0,20.0,6.25,18.317,0.125,0.234,,averages_no_outliers
400,3501,27,5.0,18.169,0.124,0.232,,
400,3500,3,5.0,18.789,0.128,0.234,,
400,3501,19,5.0,17.759,0.121,0.233,,
400,3500,37,10.0,17.839,0.122,0.236,,
400.0,3500.5,21.5,6.25,18.139,0.124,0.234,,average
400.0,3500.5,21.5,5.0,18.139,0.124,0.234,,averages_no_outliers
500,3501,9,7.5,18.359,0.125,0.232,,
500,3501,4,10.0,18.641,0.127,0.235,,
500,3500,4,5.0,17.893,0.122,0.23,,
500,3501,5,7.5,18.304,0.125,0.231,,
500.0,3500.75,5.5,7.5,18.299,0.125,0.232,,average
500.0,3501.0,5.5,7.5,18.299,0.126,0.232,,averages_no_outliers
