β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
0.1,3500,10,7.5,18.379,0.125,0.238,,
0.1,3500,6,5.0,18.864,0.129,0.237,,
0.1,3501,15,7.5,18.417,0.125,0.237,,
0.1,3500,10,5.0,18.36,0.125,0.237,,
0.1,3500.25,10.25,6.25,18.505,0.126,0.237,,average
0.1,3500.0,8.667,6.25,18.385,0.125,0.237,,averages_no_outliers
0.3,3501,0,0.0,18.776,0.128,0.235,,
0.3,3501,3,5.0,18.439,0.126,0.237,,
0.3,3500,0,0.0,18.212,0.124,0.233,,
0.3,3501,1,2.5,18.796,0.128,0.234,,
0.3,3500.75,1.0,1.875,18.556,0.126,0.235,,average
0.3,3501.0,1.0,1.875,18.556,0.126,0.235,,averages_no_outliers
0.5,3501,18,7.5,17.875,0.122,0.237,,
0.5,3501,8,7.5,18.453,0.126,0.235,,
0.5,3501,4,7.5,19.041,0.13,0.236,,
0.5,3501,39,5.0,17.017,0.116,0.234,,
0.5,3501.0,17.25,6.875,18.096,0.124,0.236,,average
0.5,3501.0,17.25,7.5,18.096,0.124,0.236,,averages_no_outliers
0.8,3500,43,12.5,16.769,0.114,0.225,,
0.8,3501,19,5.0,17.917,0.122,0.235,,
0.8,3501,12,5.0,18.255,0.124,0.231,,
0.8,3501,16,5.0,18.135,0.124,0.233,,
0.8,3500.75,22.5,6.875,17.769,0.121,0.231,,average
0.8,3501.0,15.667,5.0,18.102,0.121,0.231,,averages_no_outliers
1,3501,4,7.5,18.348,0.125,0.237,,
1,3501,10,5.0,18.676,0.128,0.229,,
1,3501,6,2.5,18.505,0.126,0.237,,
1,3501,4,5.0,17.731,0.121,0.232,,
1.0,3501.0,6.0,5.0,18.315,0.125,0.234,,average
1.0,3501.0,6.0,5.0,18.315,0.125,0.234,,averages_no_outliers
2,3501,39,5.0,16.895,0.115,0.237,,
2,3501,17,7.5,17.395,0.119,0.228,,
2,3501,32,10.0,17.201,0.117,0.234,,
2,3501,1,2.5,18.795,0.128,0.235,,
2.0,3501.0,22.25,6.25,17.572,0.12,0.233,,average
2.0,3501.0,22.25,6.25,17.164,0.12,0.235,,averages_no_outliers
3,3500,11,7.5,18.314,0.125,0.236,,
3,3501,20,5.0,18.076,0.124,0.239,,
3,3501,21,5.0,17.819,0.121,0.235,,
3,3501,22,2.5,17.757,0.121,0.236,,
3.0,3500.75,18.5,5.0,17.992,0.123,0.236,,average
3.0,3501.0,21.0,5.0,17.992,0.123,0.236,,averages_no_outliers
4,3501,20,7.5,17.689,0.121,0.235,,
4,3501,79,12.5,16.109,0.11,0.229,,
4,3501,0,0.0,18.941,0.129,0.234,,
4,3501,33,15.0,17.265,0.118,0.234,,
4.0,3501.0,33.0,8.75,17.501,0.12,0.233,,average
4.0,3501.0,33.0,8.75,17.501,0.12,0.234,,averages_no_outliers
5,3501,22,5.0,18.076,0.123,0.236,,
5,3501,38,15.0,17.141,0.117,0.231,,
5,3501,23,5.0,17.99,0.122,0.238,,
5,3500,11,2.5,18.061,0.123,0.227,,
5.0,3500.75,23.5,6.875,17.817,0.121,0.233,,average
5.0,3501.0,23.5,4.167,18.042,0.123,0.233,,averages_no_outliers
