β,whileloop_count,collision_count,crash_rate,path_length,Avg.Speed,Max.Speed,judge_coll_weight,note
35,3501,27,17.5,18.36,0.125,0.238,,
35,3501,17,5.0,18.204,0.124,0.238,,
35,3501,22,15.0,18.592,0.127,0.238,,
35.0,3500.75,16.5,9.375,18.349,0.125,0.238,,average
35.0,3501.0,16.5,9.375,18.349,0.125,0.238,,averages_no_outliers
40,3500,0,0.0,18.313,0.125,0.235,,
40,3500,12,5.0,17.72,0.121,0.236,,
40,3501,23,10.0,19.085,0.13,0.238,,
40,3500,5,5.0,18.658,0.127,0.238,,
40.0,3500.25,10.0,5.0,18.444,0.126,0.237,,average
40.0,3500.0,10.0,5.0,18.444,0.126,0.237,,averages_no_outliers
45,3501,17,10.0,18.625,0.127,0.237,,
45,3500,11,5.0,19.077,0.13,0.24,,
45,3500,21,12.5,18.28,0.125,0.237,,
45,3501,35,10.0,18.143,0.124,0.233,,
45.0,3500.5,21.0,9.375,18.531,0.126,0.237,,average
45.0,3500.5,21.0,10.833,18.531,0.126,0.238,,averages_no_outliers
50,3500,13,7.5,18.2,0.124,0.239,,
50,3501,9,7.5,18.62,0.127,0.237,,
50,3501,24,10.0,18.172,0.124,0.238,,
50,3500,4,2.5,18.127,0.124,0.238,,
50.0,3500.5,12.5,6.875,18.28,0.125,0.238,,average
50.0,3500.5,12.5,8.333,18.166,0.124,0.238,,averages_no_outliers
100,3501,1,2.5,18.834,0.129,0.237,,
100,3500,15,10.0,19.255,0.132,0.239,,
100,3500,34,12.5,18.57,0.127,0.238,,
100,3500,26,12.5,19.043,0.13,0.238,,
100.0,3500.25,19.0,9.375,18.926,0.13,0.238,,average
100.0,3500.0,19.0,9.375,18.926,0.13,0.238,,averages_no_outliers
200,3500,7,5.0,18.667,0.127,0.238,,
200,3500,5,2.5,18.881,0.129,0.237,,
200,3500,9,7.5,18.299,0.125,0.238,,
200,3501,0,0.0,18.906,0.129,0.237,,
200.0,3500.25,5.25,3.75,18.688,0.128,0.238,,average
200.0,3500.0,5.25,3.75,18.688,0.128,0.238,,averages_no_outliers
300,3500,10,5.0,18.316,0.125,0.232,,
300,3501,0,0.0,18.719,0.128,0.238,,
300,3501,0,0.0,19.193,0.131,0.239,,
300,3500,12,2.5,17.484,0.119,0.239,,
300.0,3500.5,5.5,1.875,18.428,0.126,0.237,,average
300.0,3500.5,5.5,1.875,18.428,0.126,0.239,,averages_no_outliers
400,3500,0,0.0,18.621,0.127,0.238,,
400,3500,13,5.0,17.744,0.121,0.238,,
400,3500,26,7.5,17.872,0.122,0.235,,
400,3501,7,5.0,18.703,0.128,0.239,,
400.0,3500.25,11.5,4.375,18.235,0.124,0.238,,average
400.0,3500.0,11.5,5.833,18.235,0.124,0.238,,averages_no_outliers
500,3500,0,0.0,18.65,0.127,0.237,,
500,3500,17,12.5,18.844,0.129,0.238,,
500,3500,0,0.0,18.801,0.128,0.237,,
500,3500,10,5.0,18.562,0.127,0.236,,
500.0,3500.0,6.75,4.375,18.714,0.128,0.237,,average
500.0,3500.0,6.75,4.375,18.714,0.128,0.237,,averages_no_outliers
